Log started on 2/4/2022
0:15:7:Time Elapsed (s):62 of 180
0:15:8:Time Elapsed (s):63 of 180
0:15:9:Time Elapsed (s):64 of 180
0:15:10:Time Elapsed (s):65 of 180
0:15:11:Time Elapsed (s):66 of 180
0:15:12:Time Elapsed (s):67 of 180
0:15:13:Time Elapsed (s):68 of 180
0:15:14:Time Elapsed (s):69 of 180
0:15:15:Time Elapsed (s):70 of 180
0:15:16:Time Elapsed (s):71 of 180
0:15:17:Time Elapsed (s):72 of 180
0:15:18:Time Elapsed (s):73 of 180
0:15:19:Time Elapsed (s):74 of 180
0:15:20:Time Elapsed (s):75 of 180
0:15:21:Time Elapsed (s):76 of 180
0:15:22:Time Elapsed (s):77 of 180
0:15:23:Time Elapsed (s):78 of 180
0:15:24:Time Elapsed (s):79 of 180
0:15:25:Time Elapsed (s):80 of 180
0:15:26:Time Elapsed (s):81 of 180
0:15:27:Time Elapsed (s):82 of 180
0:15:28:Time Elapsed (s):83 of 180
0:15:29:Time Elapsed (s):84 of 180
0:15:30:Time Elapsed (s):85 of 180
0:15:31:Time Elapsed (s):86 of 180
0:15:32:Time Elapsed (s):87 of 180
0:15:33:Time Elapsed (s):88 of 180
0:15:34:Time Elapsed (s):89 of 180
0:15:35:Time Elapsed (s):90 of 180
0:15:36:Time Elapsed (s):91 of 180
0:15:37:Time Elapsed (s):92 of 180
0:15:38:Time Elapsed (s):93 of 180
0:15:39:Time Elapsed (s):94 of 180
0:15:40:Time Elapsed (s):95 of 180
0:15:41:Time Elapsed (s):96 of 180
0:15:42:Time Elapsed (s):97 of 180
0:15:43:Time Elapsed (s):98 of 180
0:15:44:Time Elapsed (s):99 of 180
0:15:45:Time Elapsed (s):100 of 180
0:15:46:Time Elapsed (s):101 of 180
0:15:47:Time Elapsed (s):102 of 180
0:15:48:Time Elapsed (s):103 of 180
0:15:49:Time Elapsed (s):104 of 180
0:15:50:Time Elapsed (s):105 of 180
0:15:51:Time Elapsed (s):106 of 180
0:15:52:Time Elapsed (s):107 of 180
0:15:53:Time Elapsed (s):108 of 180
0:15:54:Time Elapsed (s):109 of 180
0:15:55:Time Elapsed (s):110 of 180
0:15:56:Time Elapsed (s):111 of 180
0:15:57:Time Elapsed (s):112 of 180
0:15:58:Time Elapsed (s):113 of 180
0:15:59:Time Elapsed (s):114 of 180
0:16:0:Time Elapsed (s):115 of 180
0:16:1:Time Elapsed (s):116 of 180
0:16:2:Time Elapsed (s):117 of 180
0:16:3:Time Elapsed (s):118 of 180
0:16:4:Time Elapsed (s):119 of 180
0:16:5:Time Elapsed (s):120 of 180
0:16:6:Time Elapsed (s):121 of 180
0:16:7:Time Elapsed (s):122 of 180
0:16:8:Time Elapsed (s):123 of 180
0:16:9:Time Elapsed (s):124 of 180
0:16:10:Time Elapsed (s):125 of 180
0:16:11:Time Elapsed (s):126 of 180
0:16:12:Time Elapsed (s):127 of 180
0:16:13:Time Elapsed (s):128 of 180
0:16:14:Time Elapsed (s):129 of 180
0:16:15:Time Elapsed (s):130 of 180
0:16:16:Time Elapsed (s):131 of 180
0:16:17:Time Elapsed (s):132 of 180
0:16:18:Time Elapsed (s):133 of 180
0:16:19:Time Elapsed (s):134 of 180
0:16:20:Time Elapsed (s):135 of 180
0:16:21:Time Elapsed (s):136 of 180
0:16:22:Time Elapsed (s):137 of 180
0:16:23:Time Elapsed (s):138 of 180
0:16:24:Time Elapsed (s):139 of 180
0:16:25:Time Elapsed (s):140 of 180
0:16:26:Time Elapsed (s):141 of 180
0:16:27:Time Elapsed (s):142 of 180
0:16:28:Time Elapsed (s):143 of 180
0:16:29:Time Elapsed (s):144 of 180
0:16:30:Time Elapsed (s):145 of 180
0:16:31:Time Elapsed (s):146 of 180
0:16:32:Time Elapsed (s):147 of 180
0:16:33:Time Elapsed (s):148 of 180
0:16:34:Time Elapsed (s):149 of 180
0:16:35:Time Elapsed (s):150 of 180
0:16:36:Time Elapsed (s):151 of 180
0:16:37:Time Elapsed (s):152 of 180
0:16:38:Time Elapsed (s):153 of 180
0:16:39:Time Elapsed (s):154 of 180
0:16:40:Time Elapsed (s):155 of 180
0:16:41:Time Elapsed (s):156 of 180
0:16:42:Time Elapsed (s):157 of 180
0:16:43:Time Elapsed (s):158 of 180
0:16:44:Time Elapsed (s):159 of 180
0:16:45:Time Elapsed (s):160 of 180
0:16:46:Time Elapsed (s):161 of 180
0:16:47:Time Elapsed (s):162 of 180
0:16:48:Time Elapsed (s):163 of 180
0:16:49:Time Elapsed (s):164 of 180
0:16:50:Time Elapsed (s):165 of 180
0:16:51:Time Elapsed (s):166 of 180
0:16:52:Time Elapsed (s):167 of 180
0:16:53:Time Elapsed (s):168 of 180
0:16:54:Time Elapsed (s):169 of 180
0:16:55:Time Elapsed (s):170 of 180
0:16:56:Time Elapsed (s):171 of 180
0:16:57:Time Elapsed (s):172 of 180
0:16:58:Time Elapsed (s):173 of 180
0:16:59:Time Elapsed (s):174 of 180
0:17:0:Time Elapsed (s):175 of 180
0:17:1:Time Elapsed (s):176 of 180
0:17:2:Time Elapsed (s):177 of 180
0:17:3:Time Elapsed (s):178 of 180
0:17:4:Time Elapsed (s):179 of 180
0:17:5:Time Elapsed (s):180 of 180
0:17:5:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
