Log started on 2/4/2022
0:55:57:Time Elapsed (s):127 of 180
0:55:58:Time Elapsed (s):128 of 180
0:55:59:Time Elapsed (s):129 of 180
0:56:0:Time Elapsed (s):130 of 180
0:56:1:Time Elapsed (s):131 of 180
0:56:2:Time Elapsed (s):132 of 180
0:56:3:Time Elapsed (s):133 of 180
0:56:4:Time Elapsed (s):134 of 180
0:56:5:Time Elapsed (s):135 of 180
0:56:6:Time Elapsed (s):136 of 180
0:56:7:Time Elapsed (s):137 of 180
0:56:8:Time Elapsed (s):138 of 180
0:56:9:Time Elapsed (s):139 of 180
0:56:10:Time Elapsed (s):140 of 180
0:56:11:Time Elapsed (s):141 of 180
0:56:12:Time Elapsed (s):142 of 180
0:56:13:Time Elapsed (s):143 of 180
0:56:14:Time Elapsed (s):144 of 180
0:56:15:Time Elapsed (s):145 of 180
0:56:16:Time Elapsed (s):146 of 180
0:56:17:Time Elapsed (s):147 of 180
0:56:18:Time Elapsed (s):148 of 180
0:56:19:Time Elapsed (s):149 of 180
0:56:20:Time Elapsed (s):150 of 180
0:56:21:Time Elapsed (s):151 of 180
0:56:22:Time Elapsed (s):152 of 180
0:56:23:Time Elapsed (s):153 of 180
0:56:24:Time Elapsed (s):154 of 180
0:56:25:Time Elapsed (s):155 of 180
0:56:26:Time Elapsed (s):156 of 180
0:56:27:Time Elapsed (s):157 of 180
0:56:28:Time Elapsed (s):158 of 180
0:56:29:Time Elapsed (s):159 of 180
0:56:30:Time Elapsed (s):160 of 180
0:56:31:Time Elapsed (s):161 of 180
0:56:32:Time Elapsed (s):162 of 180
0:56:33:Time Elapsed (s):163 of 180
0:56:34:Time Elapsed (s):164 of 180
0:56:35:Time Elapsed (s):165 of 180
0:56:36:Time Elapsed (s):166 of 180
0:56:37:Time Elapsed (s):167 of 180
0:56:38:Time Elapsed (s):168 of 180
0:56:39:Time Elapsed (s):169 of 180
0:56:40:Time Elapsed (s):170 of 180
0:56:41:Time Elapsed (s):171 of 180
0:56:42:Time Elapsed (s):172 of 180
0:56:43:Time Elapsed (s):173 of 180
0:56:44:Time Elapsed (s):174 of 180
0:56:45:Time Elapsed (s):175 of 180
0:56:46:Time Elapsed (s):176 of 180
0:56:47:Time Elapsed (s):177 of 180
0:56:48:Time Elapsed (s):178 of 180
0:56:49:Time Elapsed (s):179 of 180
0:56:50:Time Elapsed (s):180 of 180
0:56:50:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
